barcode,itemcallnumber,isbn,title,subtitle,author,pages,publishercode,copyrightdate,price
20890,"621.3845 T23 CHE.H",9789811951299,"Cellular vehicle-to-everything (C-V2X)",,"Chen, Shanzhi",384p.,Springer,2023,15401.09
20891,"572.23 T22 SCH",9783662644119,"Chemical Biology: and Drug Discovery",,"Schmidt, Marco F.",,Springer,2022,5888.09
20892,"621.3815 T20 IYE",9783030618629,"Digital Filter Design using Python for Power Engineering Applications: An Open Source Guide",,"Iyer; Shivkumar Venkatraman",,Springer,2021,7247.09
20893,"670 T22 PAL",9783030818173,"Digital Twin Fundamental Concepts to Applications in Advanced Manufacturing ",,"Pal, Surjya Kanta; Mishra, Debasish;… etal",,Springer,2022,14495.09
20894,"333.7940 T22 FRA",9783030756635,"Energy Issues and Transition to a Low Carbon Economy",,"Francisco J. Lozano; Alberto Mendoza; Arturo Molina",,Springer,2022,9059.09
20895,"629.8 T22 NAI M",9783030714482,"Fractional Order Systems Control Theory and Applications: Fundamentals and Applications",,"Naifar,Omar; Makhlouf, Abdellatif Ben",,Springer,2022,12683.09
20896,"660 T21 ANI",9789813368996,"Green Organic Reactions ",,"Gopinathan Anilkumar; Salim Saranya",,Springer,2021,16307.09
20897,"621.3821 T21 YEQ Z",9783030886653,"Intelligent Resource Management for Network Slicing in 5G and Beyond ",,"Ye, Qiang; Zhuang, Weihua",,Springer,2021,12683.09
20898,"621.3815322 T21 GON T",9783030541262,"Modelling and Simulation of Power Electronic Converter Dominated Power Systems in PowerFactory",,"Gorzalez-Longatt, Francisco M; Torres,Jose Luis Rueda (Ed.)",,Springer,2021,9965.09
20899,"003 T21 CHO",9783030711818,"NextGen Network Synchronization",,"Chowdhury, Dhiman Deb",,Springer,2021,5888.09
20900,"628.1 T21 MUT A",9789811628948,"Novel Materials for Dye-containing Wastewater Treatment",,"Subramanian Senthilkannan Muthu; Ali Khadir",,Springer,2021,9965.09
20901,"660 T22 GOL",9783030965808,"Practical Guidelines for the Chemical Industry: Operation, Processes, and Sustainability in Modern Facilities",,"Golwalkar, Kiran R.; Kumar, Rashmi",,Springer,2022,10871.09
20902,"515.35 T19 ARM K",9783030155445,"Quantitative Stochastic Homogenization and Large-Scale Regularity",,"Armstrong, Scott; Kuusi, Tuomo; Mourrat, Jean-Christophe",,Springer,2019,11777.09
20903,"629.2 T21 SUZ H"," 9783030568290","The Next Generation Vehicular Networks, Modeling, Algorithm and Applications",,"Su; Zhou""; ""Hui; Yilong""; ""Luan; Tom H…etal",,Springer,2021,1177.09
20904,"620.2 T22 HUI",9789811907739,"Underwater Acoustic Channel",," Hui, Junying; Sheng, Xueli",,Springer,2022,9965.09
20914,"660.622 T22 RYA",9781782628163,"Bionanodesign: old forms for new functions",,"Ryadnov, Maxim",,RSC,2022,16666.38
20915,"535.150 T19 RAL B",9783527411931,"Guide to experiments in quantum optics",,"Ralph, TC. and Bachor, H-A.",,Wiley-VCH,2019,12717.79
20916,"547 T23 SMI",9780367768706,"Organic chemistry: an acid-base approach",,"Smith, Michael B.",,"CRC Press",2023,13757.90
20917,"621.3845 T23 YUN Y",9781032372754,"5G new radio non-orthogonal multiple access",,"Yuan, Yifei and Yuan, Zhifeng",,"CRC Press",2023,10581.94
20918,"621.3845 T23 PEN",9781119275688,"5G explained: security & deployment of advanced mobile communications",,"Penttinen, Jyrki T.J.",,Wiley,2019,10803.00
20919,,9780815384106,"Concise introduction to machine learning",,"Faul, A",,Routledge,2020,
20920,"530.13 T22 PAT B",9780081026922,"Statistical mechanics",,"Pathria, R.K. and Beale, Paul D.",,"Academic Press",2022,9141.00
20921,"535 T22 RIP",9781107172913,"Quantum information and quantum optics with superconducting circuits",,"Ripoll, Juan J G",,CUP,2022,4985.17
20922,"535 T22 RIP",9781107172913,"Quantum information and quantum optics with superconducting circuits",,"Ripoll, Juan J G",,CUP,2022,4985.17
